"STARTDATE","ENODEB","NR_RRC_EST_ATT","NR_RRC_EST_REATT","PERC_RRCESTFAIL"
2016-06-29,"4CO00871",150533,135,0.167
2016-06-30,"4CO00871",165388,113,0.144
2016-07-01,"4CO00871",167959,172,0.17
2016-07-02,"4CO00871",267123,241,0.148
2016-07-03,"4CO00871",357983,275,0.129
2016-07-04,"4CO00871",210857,127,0.183
2016-07-05,"4CO00871",184480,121,0.147
2016-07-06,"4CO00871",223899,195,0.155
2016-07-07,"4CO00871",258720,263,0.203
2016-07-08,"4CO00871",838899,525,0.111
2016-07-09,"4CO00871",1700396,1205,0.115
2016-07-10,"4CO00871",1352309,1208,0.155
2016-07-11,"4CO00871",543593,439,0.148
2016-07-12,"4CO00871",224161,242,0.193
2016-07-13,"4CO00871",204346,176,0.175
2016-07-14,"4CO00871",218186,219,0.23
2016-07-15,"4CO00871",246484,155,0.156
2016-07-16,"4CO00871",391412,279,0.147
2016-07-17,"4CO00871",414762,301,0.137
2016-07-18,"4CO00871",216093,114,0.115
2016-07-19,"4CO00871",239875,117,0.139
2016-07-20,"4CO00871",253997,142,0.118
2016-07-21,"4CO00871",227181,112,0.097
2016-07-22,"4CO00871",229115,132,0.119
2016-07-25,"4CO00871",224600,179,0.13
2016-07-26,"4CO00871",285628,173,0.128
2016-07-27,"4CO00871",313699,168,0.202
2016-07-28,"4CO00871",307610,164,0.101
2016-07-29,"4CO00871",340060,159,0.117
2016-07-30,"4CO00871",400969,243,0.109
2016-07-31,"4CO00871",432801,461,0.161
2016-08-01,"4CO00871",347718,246,0.144
2016-08-02,"4CO00871",407955,185,0.114
2016-08-03,"4CO00871",418403,234,0.105
2016-08-04,"4CO00871",399604,299,0.163
2016-08-05,"4CO00871",480718,260,0.089
2016-08-06,"4CO00871",602550,789,0.169
2016-08-07,"4CO00871",620235,406,0.111
2016-08-08,"4CO00871",455860,276,0.112
2016-08-09,"4CO00871",488454,277,0.111
2016-08-10,"4CO00871",501327,258,0.083
2016-08-11,"4CO00871",507892,212,0.09
2016-08-12,"4CO00871",536305,255,0.095
2016-08-13,"4CO00871",623440,482,0.119
2016-08-14,"4CO00871",654709,362,0.106
2016-08-15,"4CO00871",538043,296,0.103
2016-08-16,"4CO00871",422713,231,0.096
2016-08-17,"4CO00871",435805,228,0.097
2016-08-18,"4CO00871",467286,257,0.112
2016-08-19,"4CO00871",419121,236,0.114
2016-08-20,"4CO00871",505532,286,0.101
2016-08-21,"4CO00871",561609,402,0.13
2016-08-22,"4CO00871",404598,349,0.133
2016-08-23,"4CO00871",435694,282,0.105
2016-08-24,"4CO00871",437215,276,0.124
2016-08-25,"4CO00871",407149,279,0.133
2016-08-26,"4CO00871",439677,294,0.124
2016-08-27,"4CO00871",483674,379,0.146
2016-08-28,"4CO00871",472569,343,0.152
2016-08-29,"4CO00871",305011,248,0.139
2016-08-30,"4CO00871",297041,223,0.128
2016-08-31,"4CO00871",271990,359,0.179
2016-09-01,"4CO00871",259454,147,0.095
2016-09-02,"4CO00871",251872,176,0.115
2016-09-03,"4CO00871",315296,166,0.107
2016-09-04,"4CO00871",319677,175,0.11
2016-09-05,"4CO00871",212272,130,0.103
2016-09-06,"4CO00871",239554,117,0.096
2016-09-07,"4CO00871",200529,176,0.144
2016-09-08,"4CO00871",206841,143,0.118
2016-09-09,"4CO00871",211839,140,0.125
2016-09-10,"4CO00871",237708,147,0.158
2016-09-11,"4CO00871",260214,174,0.124
2016-09-12,"4CO00871",162420,91,0.129
2016-09-13,"4CO00871",155530,106,0.133
2016-09-14,"4CO00871",150289,122,0.136
2016-09-15,"4CO00871",160096,103,0.152
2016-09-16,"4CO00871",168208,137,0.182
2016-09-17,"4CO00871",235300,133,0.141
2016-09-18,"4CO00871",231243,108,0.132
2016-09-19,"4CO00871",141465,70,0.143
2016-09-20,"4CO00871",160234,100,0.138
2016-09-21,"4CO00871",165044,135,0.228
2016-09-22,"4CO00871",164358,100,0.134
2016-09-23,"4CO00871",139440,63,0.133
2016-09-24,"4CO00871",196356,106,0.153
2016-09-26,"4CO00871",99738,47,0.104
2016-09-27,"4CO00871",136970,70,0.119
2016-09-28,"4CO00871",154672,90,0.12
2016-09-29,"4CO00871",141698,93,0.138
2016-09-30,"4CO00871",153901,74,0.161
2016-10-01,"4CO00871",189878,104,0.129
2016-10-02,"4CO00871",185735,91,0.132
2016-10-03,"4CO00871",138159,78,0.135
2016-10-04,"4CO00871",138681,42,0.118
2016-10-05,"4CO00871",163726,68,0.118
2016-10-06,"4CO00871",131640,50,0.093
2016-10-07,"4CO00871",152398,55,0.1
2016-10-08,"4CO00871",190781,70,0.178
2016-10-09,"4CO00871",186066,84,0.113
2016-10-10,"4CO00871",130119,56,0.156
2016-10-11,"4CO00871",142445,51,0.121
2016-10-12,"4CO00871",144396,88,0.129
2016-10-13,"4CO00871",149296,92,0.138
2016-10-14,"4CO00871",180562,56,0.065
2016-10-15,"4CO00871",203756,104,0.132
2016-10-16,"4CO00871",166581,103,0.162
2016-10-17,"4CO00871",117175,79,0.166
2016-10-18,"4CO00871",126856,34,0.096
2016-10-19,"4CO00871",131046,50,0.132
2016-10-20,"4CO00871",133069,42,0.21
2016-10-21,"4CO00871",144022,56,0.097
2016-10-22,"4CO00871",159749,53,0.15
2016-10-23,"4CO00871",144786,61,0.098
2016-10-24,"4CO00871",122035,63,0.193
2016-10-25,"4CO00871",121246,102,0.197
2016-10-26,"4CO00871",126390,65,0.093
2016-10-27,"4CO00871",143526,109,0.117
2016-10-28,"4CO00871",162753,102,0.122
2016-10-29,"4CO00871",213375,91,0.15
2016-10-30,"4CO00871",215822,101,0.11
2016-10-31,"4CO00871",174251,69,0.16
2016-11-01,"4CO00871",171642,54,0.09
2016-11-02,"4CO00871",137569,64,0.347
2016-11-03,"4CO00871",87784,36,0.146
2016-11-04,"4CO00871",44671,26,0.228
2016-11-05,"4CO00871",89204,53,0.166
2016-11-06,"4CO00871",115524,79,0.161
2016-11-07,"4CO00871",126483,67,0.114
2016-11-08,"4CO00871",101335,42,0.103
2016-11-10,"4CO00871",49373,18,0.081
2016-11-11,"4CO00871",11879,5,0.051
2016-11-12,"4CO00871",21025,5,0.057
2016-11-15,"4CO00871",1252,0,0
2016-11-16,"4CO00871",145965,142,0.55
2016-11-17,"4CO00871",173795,124,0.232
2016-11-18,"4CO00871",192916,117,0.296
2016-11-19,"4CO00871",207492,347,0.356
2016-11-20,"4CO00871",154876,182,0.378
2016-11-21,"4CO00871",116657,58,0.174
2016-11-22,"4CO00871",135426,104,0.268
2016-11-23,"4CO00871",134706,74,0.275
2016-11-24,"4CO00871",145786,118,0.294
2016-11-25,"4CO00871",147146,111,0.575
2016-11-26,"4CO00871",183239,124,0.216
2016-11-27,"4CO00871",171888,96,0.15
2016-11-28,"4CO00871",131617,71,0.192
2016-11-29,"4CO00871",95673,47,0.11
2016-11-30,"4CO00871",114572,64,0.189
2016-12-01,"4CO00871",153351,97,0.267
2016-12-02,"4CO00871",159373,116,0.129
2016-12-03,"4CO00871",166128,78,0.136
2016-12-04,"4CO00871",172266,101,0.181
2016-12-05,"4CO00871",117098,62,0.278
2016-12-06,"4CO00871",142540,46,0.163
